Cable name,Location,Status,Documentation,Last person & Date,Remaining,Cable number,Type,Gauge (AWG),Length (m),KC705 EyeBertScan (NEW SCRIPT),,,,,KC705 EyeBertScan (OLD SCRIPT),,,,,Date of 4 pt Resistance,"4 Pt DC resistance (ohms), 33 pin to 45 pin",,,,,,,,,,Avg,ohms/m,Error,Impedance from VNA (S12 using 2-5ns window),,,,,Impedance from VNA (S12 variable time window),,,,,CROC Min TAP0,,,,SCC173 Min TAP0,,,,CROC - SCC,CROC - SCC,TotMass (g),Mass,Mass/Length,BERT,Cable Mass,VNA,Pics,Irradiated,Thermal Cycle,Eye from Chip,For CERN,Enveloped,EE in a box,Scrapped,Comments,,,,
Type 1,,,,,,,,,,D3(22-30/23-32),D2(20-22/21-24),D1(18-14/19-16),D0(16-6/17-8),CMD(12-2/13-4),D3,D2,D1,D0,CMD,,D3_N(J24-J73),D3_P(J62-J35),D2_N(J23-J71),D2_P(J61-J33),D1_N(J22-J69),D1_P(J60-J31),D0_N(J21-J67),D0_P(J59-J29),CMD_N(J20-J66),CMD_P(J58-J28),,,,CMD(12-2/13-4),D0(16-6/17-8),D1(18-14/19-16),D2(20-22/21-24),D3(22-30/23-32),CMD(12-2/13-4),D0(16-6/17-8),D1(18-14/19-16),D2(20-26/21-24),D3(22-30/23-32),D3 10(-10),D3 10(-14),D0 10(-10),D0 10(-14),D3 10(-10) ,D3 10(-14),D0 10(-10),D0 10(-14),D3,D0,,,,,,,,,,,,,,,,,,,
TP_0p8m_141_v2,Malott 4078,A,Done,JS 7/27/22,Mass (Slightly High VNA's),141,1A,36,0.80,52000.00,52800.00,54560.00,52080.00,53840.00,,,,,,,1.9886,2.0057,1.9448,1.9678,1.9689,1.9776,1.9702,1.9802,2.0590,2.0338,1.99,,,134.00,136.00,133.00,133.00,131.00,137.00,139.00,137.00,137.00,134.00,240*,,230*,,100,,120,,140,110,,,,,,,,,,,,✓,,,"Second version of cable, *CROC: no clock detection for TAP0 = 230, 220",,,,
TP_0p8m_142,Malott 1090,FAIL,,,N/A,142,1A,36,0.80,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,✓,✓,Split paddle board.,,,,
TP_0p8m_142_v2,Malott 4078,A ,Done,JS 7/27/22,Done,142,1A,36,0.80,50800.00,52320.00,52400.00,51760.00,51680.00,,,,,,,2.0083,2.017,1.9623,1.9742,1.9989,2.0416,2.0221,2.05,2.0811,2.0858,2.02,,,130.00,134.00,133.00,134.00,133.00,135.00,137.00,138.00,137.00,136.00,260*,,240*,,80,108,130,201,180,110,,,,,,,,,,,,✓,,,"Second version of cable.*CROC: no clock detection for TAP0 = 250, 230",,,,
TP_0p8m_143,Malott 4078,A ,Done,JS 7/27/22,Done,143,1A,36,0.80,57200.00,52000.00,52800.00,55680.00,55040.00,36880.00,fail,37200.00,29280.00,32320.00,9/24/24,1.9972,2.0372,2.0393,2.0219,2.0176,2.0154,2.0769,2.0801,2.0193,2.0215,2.03,2.54,0.03,129.52,131.80,128.93,134.18,131.96,133.00,136.00,133.00,134.00,132.00,220,,240*,,90,124,100,131,130,140,1.553,,,,,✓,,,,,,,✓,,*CROC: no clock detection for TAP0 = 230,"August 11, 2022: D2_N fails continuity test program. With ohmmeter, measured resistance of D2_N to be 7.1 ohms compared to 1.7 ohms for D2_P. ",,,
TP_1p0m_144,Malott 4078,A ,Done,JS 7/27/22,Slightly high VNA's,144,1A,36,1.00,52880.00,52800.00,50000.00,54480.00,54800.00,32320.00,33440.00,26560.00,32480.00,32960.00,9/24/24,2.2963,2.2917,2.3538,2.3512,2.2935,2.2826,2.3014,2.2831,2.2812,2.2563,2.30,2.87,0.03,129.00,132.00,127.00,131.00,129.00,135.00,139.00,135.00,134.00,134.00,250**,,280*,,120,162,140,,130,140,1.75,,,,,✓,,,,,,✓,✓,,"Cable had not label, so I attached a label (144). According to envelope, this is an EE in a box cable. - Caleb, *CROC: no clock detection for TAP0 = 270, **CROC: no clock detection for TAP0 = 240",,,,
TP_1p0m_145,Malott 4078,A ,Done,JS 7/27/22,Mass,145,1A,36,1.00,55200.00,53920.00,50800.00,51910.00,52960.00,32000.00,24000.00,24320.00,30400.00,37120.00,9/24/24,2.292,2.3091,2.2703,2.2757,2.2837,2.2881,2.2879,2.3389,2.3447,2.3516,2.30,,,135.28,133.92,137.05,136.65,134.23,142.19  |  142,143.32   |   138,143.24   |   142,141.1   |  134,143.18    |   133,280*,,260*,,110,,120,,170,140,1.887,,,,,✓,,,,,,,✓,,"*CROC: no clock detection for TAP0 = 270, 250",,,,
TP_1p0m_146,Malott 4078,FAIL ,N/A,,N/A,146,1A,36,1.00,,,,,,20480.00,RETEST needed,33960/retest,25280.00,28480.00,9/24/24,retest: 30+,retest: 2.2957,retest: 9.2543,2.3554,2.6182,high: 5.6165,high: 11.9315,2.2892,high: 21+,high: 50+,2.42,,,,,,,,137.00,130.00,52.00,54.00,53.00,x,,x,,x,,150,,x,x,,,,,,✓,,,,,,✓,✓,,Being checked by Bill,,,,
TP_1p0m_146_v2,Malott 4078,A ,Done,JS 7/27/22,Done,146,1A,36,1.00,54000.00,49600.00,48160.00,51280.00,51280.00,,,,,,6/6/22,2.2876,2.3059,2.2523,,2.2763,2.2887,2.2921,2.2931,2.3569,2.3656,2.30,,,106.00,107.00,104.00,109.00,109.00,110.00,111.00,109.00,113.00,112.00,280*,,260*,,100,131,160,233,180,100,,,,,,,,,,,,✓,,,"Second version of cable.*CROC: no clock detection for TAP0 = 270,250",,,,
TP_1p0m_147,Malott 1090,FAIL,,,N/A,147,1A,36,1.00,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,✓,✓,✓,Failed tests during production.,,,,
TP_1p0m_147_v2,Malott 4078,A ,Done,JS 7/27/22,Mass  ,147,1A,36,1.00,54160.00,52000.00,50720.00,54720.00,53520.00,,,,,,6/6/22,2.3072,2.3214,2.2915,2.2846,2.3029,2.3022,2.3770,2.3076,2.4006,2.3651,2.33,,,121.00,123.00,122.00,120.00,120.00,127.00,126.00,126.00,125.00,124.00,210*,,200*,,110,158,180,274,130,40,,,,,,,,,,,,✓,,,Second version of cable.*CROC: no clock detection for TAP0 = 230,,,,
TP_1p0m_148,Malott 4078,A ,Done,JS 7/27/22,Done,148,1A,36,1.00,52240.00,50000.00,52000.00,52560.00,51000.00,30160.00,22720.00,30000.00,23360.00,29440.00,9/24/24,2.2986,2.2975,2.3566,2.3592,2.2945,2.2837,2.3126,2.2907,2.2754,2.2583,2.30,2.30,0.03,132.00,135.00,137.00,136.00,135.00,141.00,139.00, ,136.00,134.00,280*,,280*,,100,137,120,,180,160,1.265,,,,,,,,,,,✓,✓,,*CROC: no clock detection for TAP0 = 270,,,,
TP_1p4m_149,Malott 4078,A,Done,JS 7/18/22,Done,149,1A,36,1.40,46420.00,46880.00,46640.00,46400.00,47680.00,26640.00,26320.00,24240.00,26720.00,29440.00,9/24/24,2.8912,2.8681,2.8559,2.8256,2.8701,2.8659,2.8696,2.8665,2.9378,2.9356,2.88,2.06,0.03,130.48,132.61,133.86,133.60,132.15,143.42,144.38,144.57,145.06,145.07,no link,,360*,,110,158,"170, 190",255,x,170,2.63,,,✓,✓,✓,✓,,,,,✓,✓,,*CROC: no clock detection for TAP0 = 350,,,,
