Harness #,Shipped,Requested,Type,AWG,Wire Lot,Length (Meters),Cut,Cutter,Stripped,Stripper,45pin paddle code,15pin paddle code,Soldered,Solder,Solderer,Continuity + shorts,OK/NG,Repairs,Cleaned,Continuity,OK/NG,Repairs,Epoxy,Epoxy type,Epoxier,Continuity + shorts,OK/NG,Repairs,Lashing,Continuity + shorts,OK/NG,Visual inspection,Turned over,Repaired,Visual inspection 2,weeknum,Turned over 2,Notes,week of completion,,,,,,,,,,
936,02-26-25,09-19-24,1.3 R1_G3,36,L218494,0.390,09-23-24,Doug,09-24-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-03-24,Sn63Pb37,Felipe,10-04-24,OK ,,,,,,10-19-24,UR6060,Lucciana,10-19-24,OK ,,10-11-24,10-14-24,OK,OK,10-14-24,,,26,,,,,,,,,,,,,
937,02-26-25,09-19-24,1.3 R1_G3,36,L218494,0.390,09-23-24,Doug,09-24-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-03-24,Sn63Pb37,Felipe,10-04-24,OK ,,,,,,10-20-24,UR6060,Lucciana,10-20-24,OK ,,10-11-24,10-14-24,OK,OK,10-14-24,,,26,,,,,,,,,,,,,
938,06-16-25,09-19-24,1.3 R1_G3,36,L218494,0.390,09-23-24,Doug,09-24-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-03-24,Sn63Pb37,Felipe,10-04-24,OK ,,,,,,10-21-24,UR6060,Lucciana,10-21-24,OK ,,10-11-24,10-14-24,OK,OK,10-14-24,,,26,,"NOTE: Chip on 45 pin edge, paddle A (DC)  10/09/2024",,,,,,,,,,,
939,02-26-25,09-19-24,1.3 R1_G3,36,L218494,0.390,09-23-24,Doug,09-24-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-03-24,Sn63Pb37,Felipe,10-04-24,OK ,,,,,,10-22-24,UR6060,Lucciana,10-22-24,OK ,,10-11-24,10-14-24,OK,OK,10-14-24,,,26,,,,,,,,,,,,,
940,,09-19-24,1.3 R1_G3,36,L218494,0.390,09-23-24,Doug,09-24-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-03-24,Sn63Pb37,Felipe,10-04-24,NG,2024-10-04,,2024-10-04,OK,,10-23-24,UR6060,Lucciana,10-23-24,OK ,,10-11-24,10-14-24,OK,OK,10-14-24,,,26,,"Switched 2 branches in BA; fixed   NOTE: Chip on 15 pin edge, paddle BA (DC)  10/09/2024",,,,,,,,,,,
941,02-26-25,09-19-24,1.3 R1_G3,36,L218494,0.390,09-23-24,Doug,09-24-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-08-24,Sn63Pb37,Felipe,10-08-24,OK,,,,,,10-24-24,UR6060,Lucciana,10-24-24,OK ,,10-11-24,10-14-24,OK,OK,10-14-24,,,26,,,,,,,,,,,,,
942,02-26-25,09-19-24,1.3 R1_G3,36,L218494,0.390,09-23-24,Doug,09-24-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-08-24,Sn63Pb37,Felipe,10-08-24,OK,,,,,,10-25-24,UR6060,Lucciana,10-25-24,OK ,,10-11-24,10-14-24,OK,OK,10-14-24,,,26,,,,,,,,,,,,,
943,02-26-25,09-19-24,1.3 R1_G3,36,L218494,0.390,09-23-24,Doug,09-24-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-09-24,Sn63Pb37,Doug,10-09-24,OK ,,,,,,10-26-24,UR6060,Lucciana,10-26-24,OK ,,10-11-24,10-14-24,OK,OK,10-14-24,,,26,,,,,,,,,,,,,
944,02-26-25,09-19-24,1.3 R1_G3,36,L218494,0.390,09-23-24,Doug,09-24-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-08-24,Sn63Pb37,Lucciana,10-08-24,OK ,,,,,,10-27-24,UR6060,Lucciana,10-27-24,OK ,,10-11-24,10-14-24,OK,OK,10-14-24,,,26,,,,,,,,,,,,,
945,02-26-25,09-19-24,1.3 R1_G3,36,L218494,0.390,09-23-24,Doug,09-24-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-09-24,Sn63Pb37,Doug,10-09-24,OK,,,,,,10-28-24,UR6060,Lucciana,10-28-24,OK ,,10-11-24,10-14-24,OK,OK,10-14-24,,,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
946,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-09-24,Sn63Pb37,Felipe,10-09-24,OK,,,,,,10-15-24,UR6060,Doug,10-15-24,OK ,,10-16-24,10-16-24,OK,OK,10-16-24,,,26,,,,,,,,,,,,,
947,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-10-24,Sn63Pb37,Felipe,10-10-24,OK,,,,,,10-15-24,UR6060,Doug,10-15-24,OK ,,10-16-24,10-16-24,OK,OK,10-16-24,,,26,,,,,,,,,,,,,
948,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-10-24,Sn63Pb37,Felipe,10-10-24,OK,,,,,,10-15-24,UR6060,Doug,10-15-24,OK ,,10-16-24,10-16-24,OK,OK,10-16-24,,,26,,,,,,,,,,,,,
949,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-10-24,Sn63Pb37,Felipe,10-10-24,OK,,,,,,10-15-24,UR6060,Doug,10-15-24,OK ,,10-16-24,10-16-24,OK,OK,10-16-24,,,26,,,,,,,,,,,,,
950,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-10-24,Sn63Pb37,Doug,10-10-24,OK,,,,,,10-15-24,UR6060,Doug,10-15-24,OK ,,10-16-24,10-16-24,OK,OK,10-16-24,,,26,,,,,,,,,,,,,
951,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-15-24,Sn63Pb37,Felipe,10-15-24,OK,,,,,,10-16-24,UR6060,Lucciana,10-16-24,OK ,,10-17-24,10-17-24,OK,OK,10-17-24,,,26,,,,,,,,,,,,,
952,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-15-24,Sn63Pb37,Felipe,10-15-24,OK,,,,,,10-16-24,UR6060,Lucciana,10-16-24,OK ,,10-17-24,10-17-24,OK,OK,10-17-24,,,26,,,,,,,,,,,,,
953,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-15-24,Sn63Pb37,Lucciana,10-15-24,OK,,,,,,10-16-24,UR6060,Lucciana,10-16-24,OK ,,10-17-24,10-17-24,OK,OK,10-17-24,,,26,,,,,,,,,,,,,
954,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-09-24,Sn63Pb37,Felipe,10-08-24,OK,,,,,,10-16-24,UR6060,Lucciana,10-16-24,OK ,,10-17-24,10-17-24,OK,OK,10-17-24,,,26,,,,,,,,,,,,,
955,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-15-24,Sn63Pb37,Lucciana,10-15-24,OK,,,,,,10-16-24,UR6060,Lucciana,10-16-24,OK ,,10-17-24,10-17-24,OK,OK,10-17-24,,,26,,,,,,,,,,,,,
956,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-16-24,Sn63Pb37,Felipe,10-16-24,OK,,,,,,10-16-24,UR6060,Lucciana,10-16-24,OK ,,10-17-24,10-17-24,OK,OK,10-17-24,,,26,,,,,,,,,,,,,
957,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-17-24,Sn63Pb37,Doug,10-17-24,OK ,,,,,,10-22-24,UR6060,Lucciana,10-23-24,OK ,,10-24-24,10-24-24,OK,OK,10-24-24,,,27,,,,,,,,,,,,,
958,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-16-24,Sn63Pb37,Lucciana,10-16-24,OK ,,,,,,10-22-24,UR6060,Lucciana,10-23-24,OK ,,10-24-24,10-24-24,OK,OK,10-24-24,2024-11-18,OK,27,2024-11-20,"Note from Nora: Fails continuity & has infinite DC resistance on branch C  d0_p  11/18/24  DC.  Passes continuity, nothing was fixed. LC  Passed for me too 11/20/24 DC. Nora: Fails continuity on C d0_p & d0_n 11/22. Still failing 11/27 in 4078. All branch C channels passed continuity and resistance in 4078 (Mikayla, 01/03/25).",,,,,,,,,,,
959,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-16-24,Sn63Pb37,Lucciana,10-16-24,OK,,,,,,10-22-24,UR6060,Lucciana,10-23-24,OK ,,10-24-24,10-24-24,OK,OK,10-24-24,,,27,,,,,,,,,,,,,
960,02-13-25,09-26-24,2.2 R4_G3,36,L218494,0.405,09-30-24,Doug,10-01-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-21-24,Sn63Pb37,Felipe,10-21-24,OK,,,,,,10-22-24,UR6060,Lucciana,10-23-24,OK ,,10-24-24,10-24-24,OK,OK,10-24-24,,,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
961,,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-21-24,Sn63Pb37,Felipe,10-21-24,OK,,,,,,10-22-24,UR6060,Lucciana,10-23-24,OK ,,10-24-24,10-24-24,OK,OK,10-24-24,,,27,,Nick in branch BC on 15 pin paddleboard,,,,,,,,,,,
962,02-13-25,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-21-24,Sn63Pb37,Felipe,10-21-24,OK,,,,,,10-22-24,UR6060,Lucciana,10-23-24,OK ,,10-24-24,10-24-24,OK,OK,10-24-24,,,27,,,,,,,,,,,,,
963,02-13-25,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-22-24,Sn63Pb37,Felipe,10-22-24,OK,,,,,,10-24-24,UR6060,Doug,10-24-24,OK ,,10-29-24,10-29-24,OK,OK,10-29-24,,,28,,,,,,,,,,,,,
964,02-13-25,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-22-24,Sn63Pb37,Felipe,10-22-24,OK,,,,,,10-24-24,UR6060,Doug,10-24-24,OK ,,10-29-24,10-29-24,OK,OK,10-29-24,,,28,,,,,,,,,,,,,
965,02-13-25,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-22-24,Sn63Pb37,Felipe,10-22-24,OK,,,,,,10-24-24,UR6060,Doug,10-24-24,OK ,,10-29-24,10-29-24,OK,OK,10-29-24,,,28,,,,,,,,,,,,,
966,02-13-25,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-22-24,Sn63Pb37,Felipe,10-22-24,OK,,,,,,10-24-24,UR6060,Doug,10-24-24,OK ,,10-29-24,10-29-24,OK,OK,10-29-24,,,28,,,,,,,,,,,,,
967,02-13-25,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-22-24,Sn63Pb37,Lucciana,10-22-24,OK,,,,,,10-24-24,UR6060,Doug,10-24-24,OK ,,10-29-24,10-29-24,OK,OK,10-29-24,,,28,,,,,,,,,,,,,
968,02-13-25,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-22-24,Sn63Pb37,Lucciana,10-22-24,OK,,,,,,10-24-24,UR6060,Doug,10-24-24,OK ,,10-29-24,10-29-24,OK,OK,10-29-24,,,28,,,,,,,,,,,,,
969,02-13-25,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-23-24,Sn63Pb37,Felipe,10-23-24,OK ,,,,,,10-29-24,UR6060,Lucciana,10-29-24,OK ,,10-31-24,11-04-24,OK,OK,11-04-24,,,28,,,,,,,,,,,,,
970,02-13-25,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-23-24,Sn63Pb37,Felipe,10-23-24,OK ,,,,,,10-29-24,UR6060,Lucciana,10-29-24,OK ,,10-31-24,11-04-24,OK,OK,11-04-24,,,28,,,,,,,,,,,,,
,,Began new reel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
971,,10-03-24,2.2 R4_G3,36,L218494,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-23-24,Sn63Pb37,Lucciana,10-23-24,OK ,,,,,,10-31-24,UR6060,Doug,10-31-24,OK ,,11-05-24,11-05-24,OK ,OK,11-05-24,,,29,,Note from Nora: Low area on branch C  D2   11/18/'24  DC.  Close vis. inspect under loop shows no obvious defects.  Resistance is 1.1 Ohms on circuits 7 and 8 (correspond to BC d2)  No defects in wires seen anywhere.  11/19/'24  DC. Inspected and tried to fixed it by trying to fix the soldering LC 11/20/24,,,,,,,,,,,
972,02-13-25,10-03-24,2.2 R4_G3,36,L222105,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-30-24,Sn63Pb37,Lucciana,10-30-24,OK ,,,,,,11-05-24,UR6060,Doug,11-05-24,OK ,,11-06-24,11-06-24,OK,OK,11-06-24,,,29,,"The dialectric from one of the green wires has melted and dismantle the copper in the BC branch.....OK to solder, 1mm of missing green outer insulation, BC branch, but inner insulation is good; will be epoxied over.  DC 10/30/24",,,,,,,,,,,
973,02-13-25,10-03-24,2.2 R4_G3,36,L222105,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-23-24,Sn63Pb37,Felipe,10-30-24,OK ,,,,,,11-07-24,UR6060,Lucciana,11-07-24,OK ,,11-11-24,11-11-24,OK,OK,11-12-24,,,30,,Cut wire in 45 pin paddle. Fixed.,,,,,,,,,,,
974,,10-03-24,2.2 R4_G3,36,L222105,0.405,10-07-24,Doug,10-08-24,Doug/Caleb,,,,,,,,,,,,,,,,,,,,,,"NG, 11/01/24 ",,,,-6392,,"Paddle A, red wire snapped off at solder joint; not repairable.  Production stopped.  #974 placed in envelope, on Unrepairable shelf. DC. 11/01/24",,,,,,,,,,,
975,02-13-25,10-03-24,2.2 R4_G3,36,L222105,0.405,10-08-24,Doug,10-08-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-23-24,Sn63Pb37,Felipe,10-30-24,OK ,,,,,,10-31-24,UR6060,Doug,10-31-24,OK ,,11-05-24,11-05-24,OK ,OK,11-05-24,,,29,,,,,,,,,,,,,
976,02-13-25,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-30-24,Sn63Pb37,Lucciana,10-30-24,OK ,,,,,,11-05-24,UR6060,Doug,11-05-24,OK,,11-06-24,11-06-24,OK,OK,11-06-24,,,29,,"OK to solder, 0.5mm of missing green outer insulation, BC branch, but inner insulation is good; will be epoxied over.  DC 10/30/24",,,,,,,,,,,
977,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-30-24,Sn63Pb37,Lucciana,10-30-24,OK ,,,,,,11-05-24,UR6060,Doug,11-05-24,OK,,,,,"NG, 11/05/24 ",,,,-6392,,"OK to solder, 0.5mm of missing red outer insulation, two spots, BC branch, but inner insulation is good; will be epoxied over.  DC 10/30/24  Found bad crimp in green wire, under clamp BA; Not Usable. #977 placed in envelope, on Unrepairable shelf.  DC. 11/05/24",,,,,,,,,,,
978,02-13-25,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-28-24,Sn63Pb37,Lucciana,10-29-24,OK ,,,,,,10-31-24,UR6060,Doug,10-31-24,OK ,,11-05-24,11-05-24,OK ,OK,11-05-24,,,29,,,,,,,,,,,,,
979,02-13-25,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-30-24,Sn63Pb37,Lucciana,10-30-24,OK ,,,,,,11-05-24,UR6060,Doug,11-05-24,OK,,11-06-24,11-06-24,OK,OK,11-06-24,,,29,,,,,,,,,,,,,
980,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-31-24,Sn63Pb37,Lucciana,10-31-24,OK ,,,,,,11-05-24,UR6060,Doug,11-05-24,OK,,11-06-24,11-06-24,OK,OK,11-06-24,,,29,,,,,,,,,,,,,
981,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-31-24,Sn63Pb37,Lucciana,10-31-24,OK ,,,,,,11-05-24,UR6060,Doug,11-05-24,OK,,11-06-24,11-06-24,OK,OK,11-06-24,,,29,,,,,,,,,,,,,
982,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-31-24,Sn63Pb37,Lucciana,10-31-24,OK ,,,,,,11-05-24,UR6060,Doug,11-05-24,OK,,11-06-24,11-06-24,OK,OK,11-06-24,,,29,,,,,,,,,,,,,
983,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,11-04-24,Sn63Pb37,Lucciana,11-04-24,OK ,,,,,,11-07-24,UR6060,Lucciana,11-07-24,OK ,,11-11-24,11-11-24,OK,OK,11-12-24,,,30,,,,,,,,,,,,,
984,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,11-04-24,Sn63Pb37,Lucciana,11-04-24,OK ,,,,,,11-07-24,UR6060,Lucciana,11-07-24,OK ,,11-11-24,11-11-24,OK,OK,11-12-24,,,30,,,,,,,,,,,,,
985,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,11-04-24,Sn63Pb37,Lucciana,11-04-24,OK ,,,,,,11-07-24,UR6060,Lucciana,11-07-24,OK ,,11-11-24,11-11-24,OK,OK,11-12-24,,,30,,,,,,,,,,,,,
986,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,11-04-24,Sn63Pb37,Lucciana,11-04-24,OK ,,,,,,11-07-24,UR6060,Lucciana,11-07-24,OK ,,11-11-24,11-11-24,OK,OK,11-12-24,,,30,,,,,,,,,,,,,
987,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,11-05-24,Sn63Pb37,Lucciana,11-05-24,OK ,,,,,,11-07-24,UR6060,Lucciana,11-07-24,OK ,,11-11-24,11-11-24,OK,OK,11-12-24,,,30,,,,,,,,,,,,,
988,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,11-05-24,Sn63Pb37,Felipe,11-05-24,OK ,,,,,,11-07-24,UR6060,Lucciana,11-07-24,OK ,,11-11-24,11-11-24,OK,OK,11-12-24,2024-11-19,              OK,30,2024-11-21,"Note from Nora: Infinite resistance  d0_p  on branch A. 11/18/'24  DC.. 11/19  Re-soldered and now passes continuity.  LC. Passes continuity and resistance in 4078 for branches A and C, all channels (Nora on 11/22/24 and Mikayla on 01/03/25).",,,,,,,,,,,
989,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,11-05-24,Sn63Pb37,Lucciana,11-05-24,OK ,,,,,,11-07-24,UR6060,Lucciana,11-07-24,OK ,,11-11-24,11-11-24,OK,OK,11-12-24,,,30,,,,,,,,,,,,,
990,,10-10-24,2.2 R4_G3,36,L222105,0.405,10-14-24,Doug,10-15-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,11-05-24,Sn63Pb37,Felipe,11-05-24,OK ,,,,,,11-07-24,UR6060,Lucciana,11-07-24,OK ,,11-11-24,11-11-24,OK,OK,11-12-24,,,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6392,,,,,,,,,,,,,
991,02-21-25,10-17-24,3.2 R4_G1,36,L222105,0.235,10-21-24,Doug,10-22-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,11-07-24,Sn63Pb37,Lucciana,11-07-24,OK,,,,,,11-12-24,UR6060,Lucciana,11-12-24,OK,,11-14-24,11-14-24,OK,OK,11-14-24,,,30,,"BC measures 4mm shorter, reduced strip length to 8mm on BC, BB is 13mm longer and BA is OK",,,,,,,,,,,
992,02-21-25,10-17-24,3.2 R4_G1,36,L222105,0.235,10-21-24,Doug,10-22-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-11-24,Sn63Pb37,Lucciana,11-11-24,OK,,,,,,11-14-24,UR6060,Doug,11-14-24,OK,,11-15-24,11-15-24,OK ,OK,11-15-24,,,30,,,,,,,,,,,,,
993,02-21-25,10-17-24,3.2 R4_G1,36,L222105,0.235,10-21-24,Doug,10-22-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-14-24,Sn63Pb37,Felipe,11-14-24,OK,,,,,,11-19-24,UR6060,Lucciana,11-19-24,OK,,11-20-24,11-21-24,OK,OK,11-21-24,,,31,,,,,,,,,,,,,
994,02-21-25,10-17-24,3.2 R4_G1,36,L222105,0.235,10-21-24,Doug,10-22-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-14-24,Sn63Pb37,Felipe,11-14-24,OK,,,,,,11-19-24,UR6060,Lucciana,11-19-24,OK,,11-20-24,11-21-24,OK,OK,11-21-24,,,31,,,,,,,,,,,,,
995,02-21-25,10-17-24,3.2 R4_G1,36,L222105,0.235,10-21-24,Lucciana,10-22-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-11-24,Sn63Pb37,Felipe,11-11-24,OK,,,,,,11-12-24,UR6060,Lucciana,11-12-24,OK,,11-14-24,11-14-24,OK,OK,11-14-24,,,30,,,,,,,,,,,,,
996,02-21-25,10-17-24,3.2 R4_G1,36,L222105,0.235,10-21-24,Lucciana,10-22-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-13-24,Sn63Pb37,Doug,11-13-24,OK,,,,,,11-14-24,UR6060,Doug,11-14-24,OK,,11-15-24,11-15-24,OK ,OK,11-15-24,,,30,,,,,,,,,,,,,
997,02-21-25,10-17-24,3.2 R4_G1,36,L222105,0.235,10-21-24,Lucciana,10-22-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-14-24,Sn63Pb37,Felipe,11-14-24,OK,,,,,,11-19-24,UR6060,Lucciana,11-19-24,OK,,11-20-24,11-21-24,OK,OK,11-21-24,,,31,,,,,,,,,,,,,
998,02-21-25,10-17-24,3.2 R4_G1,36,L222105,0.235,10-21-24,Lucciana,10-22-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-13-24,Sn63Pb37,Lucciana,11-13-24,OK ,,,,,,11-14-24,UR6060,Doug,11-14-24,OK,,11-15-24,11-15-24,OK ,OK,11-15-24,,,30,,,,,,,,,,,,,
999,02-21-25,10-24-24,3.2 R4_G1,36,L222105,0.235,10-28-24,Doug,10-29-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-13-24,Sn63Pb37,Doug,11-13-24,OK,,,,,,11-14-24,UR6060,Doug,11-14-24,OK,,11-15-24,11-15-24,OK ,OK,11-15-24,,,30,,"NOTE:  #999 badly kinked wire pair (strand) found on branch BC, at wirestripping stage.  Unusable.  DC.  (will re-make)",,,,,,,,,,,
1000,02-21-25,10-24-24,3.2 R4_G1,36,L222105,0.235,10-28-24,Doug,10-29-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-13-24,Sn63Pb37,Lucciana,11-13-24,OK ,,,,,,11-14-24,UR6060,Doug,11-14-24,OK,,11-15-24,11-15-24,OK ,OK,11-15-24,,,30,,"NOTE:  #1,000  wire broke off at solder joint after soldering; unusable.  Completed lashings for final measure.  DC. (will re-make)",,,,,,,,,,,
1001,02-21-25,10-24-24,3.2 R4_G1,36,L222105,0.235,10-28-24,Doug,10-29-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-15-24,Sn63Pb37,Lucciana,11-15-24,OK ,,,,,,11-19-24,UR6060,Lucciana,11-19-24,OK,,11-20-24,11-21-24,OK,OK,11-21-24,,,31,,,,,,,,,,,,,
1002,02-21-25,10-24-24,3.2 R4_G1,36,L222105,0.235,10-28-24,Doug,10-29-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-15-24,Sn63Pb37,Lucciana,11-15-24,OK ,,,,,,11-19-24,UR6060,Lucciana,11-19-24,OK,,11-20-24,11-21-24,OK,OK,11-21-24,,,31,,,,,,,,,,,,,
1003,02-21-25,10-24-24,3.2 R4_G1,36,L222105,0.235,10-28-24,Doug,10-29-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-15-24,Sn63Pb37,Lucciana,11-15-24,OK ,,,,,,11-20-24,UR6060,Doug,11-20-24,OK,,11-21-24,11-21-24,OK,OK,11-21-24,,,31,,,,,,,,,,,,,
1004,02-21-25,10-24-24,3.2 R4_G1,36,L222105,0.235,10-28-24,Doug,10-29-24,Doug/Caleb,W50336ASC407,W50336ASC427_2,11-15-24,Sn63Pb37,Lucciana,11-15-24,OK ,,,,,,11-20-24,UR6060,Doug,11-20-24,OK,,11-21-24,11-21-24,OK,OK,11-21-24,,,31,,,,,,,,,,,,,
1005,02-21-25,10-24-24,3.2 R4_G1,36,L222105,0.235,10-28-24,Doug,10-29-24,Doug/Caleb,W50336ASC407,W50336ASC427_1,10-30-24,Sn63Pb37,Doug,10-30-24,OK,,,,,,10-31-24,UR6060,Doug,10-31-24,OK ,,11-05-24,11-05-24,OK ,OK,11-05-24,,,29,,,,,,,,,,,,,
